name,location,business_hours,admission_fees,website_url,phone_number
国立西洋美術館,東京都台東区上野公園７－７,9:30〜17:30（季節により変動あり）,一般:430円/大学生:130円（特定日は無料観覧日あり）,情報なし,03-3828-5131
国立新美術館,東京都港区六本木７丁目２２－２,10:00〜18:00（金土は20:00まで、夏季は21:00まで）,企画展:展覧会ごとに異なる/公募展:団体ごとに異なる,情報なし,03-5777-8600
東京都美術館,東京都台東区上野公園8-36,9:30〜17:00,企画展ごとに異なる,情報なし,03-3823-6921
チームラボプラネッツ TOKYO DMM.com,東京都江東区豊洲6-1-16,9:00〜22:00,大人:3800円/中高生:2300円/小人:1300円/3歳以下無料,情報なし,情報なし
上野の森美術館,東京都台東区上野公園１－２,10:00〜17:00（最終入館は閉館30分前まで）,展示ごとに異なる,情報なし,03-3833-4191
岡本太郎記念館,東京都港区南青山6-1-19,10:00〜18:00（最終入館17:30）,一般:620円/小学生:310円,情報なし,03-3406-0801
東京国立近代美術館－本館,東京都千代田区北の丸公園３－１,10:00〜17:00（金土は20:00まで）,所蔵展:一般500円/大学生150円（17時以降割引あり）企画展:展覧会ごとに異なる,情報なし,03-5777-8600
すみだ北斎美術館,東京都墨田区亀沢２－７－２,9:30〜17:30（最終入館は閉館30分前まで）,常設展:一般400円/大学生300円/高校生以下無料企画展:展覧会ごとに異なる,情報なし,03-6658-8936
東京都現代美術館,東京都江東区三好４丁目１－１,10:00〜18:00（最終入館17:30まで）,常設展:一般500円/大学生400円/高校生以下無料/65歳以上250円企画展:展覧会ごとに異なる,情報なし,03-5245-4111
三井記念美術館,東京都中央区日本橋室町2-1-1 三井本館７階,10:00〜17:00（最終入館16:30まで）,一般:1000円/大学・高校生:500円/中学生以下無料,情報なし,情報なし
東京国立近代美術館－工芸館,東京都千代田区北の丸公園１－１,14:00〜17:00（展覧会開催時のみ開館）,所蔵展:一般210円/大学生70円/高校生以下無料企画展:展覧会ごとに異なる,情報なし,03-5777-8600
練馬区立美術館,東京都練馬区貫井1-36-16,10:00〜18:00（最終入館17:30まで）,展覧会ごとに異なる,情報なし,03-3577-1821
百段階段,東京都目黒区下目黒１－８－１,イベント開催時のみ開館,イベントごとに異なる,情報なし,03-5434-3140
目黒区美術館,東京都目黒区目黒２丁目４－３６,10:00〜18:00（最終入館17:30まで）,展覧会ごとに異なる,情報なし,03-3714-1201
森ビル デジタルアート ミュージアム：チームラボボーダレス,東京都港区麻布台1-2-4,情報なし,情報なし,情報なし,情報なし
東京都写真美術館,東京都目黒区三田１丁目１３－３,10:00〜18:00（木金は20:00まで最終入館は閉館30分前まで）,展覧会・上映会ごとに異なる,情報なし,03-3280-0099
松濤美術館,東京都渋谷区松濤２丁目１４－１４,10:00〜18:00（金曜は20:00まで）特別展・公募展:時間が異なる,展覧会ごとに異なる,情報なし,03-3465-9421
出光美術館,東京都千代田区丸の内3-1-1 帝劇ビル9階,10:00〜17:00（金曜は19:00まで最終入館は閉館30分前まで）,一般:1000円/大学生700円/中学生以下無料（特定条件で割引あり）,情報なし,03-5777-8600
永青文庫,東京都文京区目白台1-1-1,10:00〜16:30（最終入館16:00まで）,一般:800円/シニア600円/大学高校生400円/中学生以下無料,情報なし,03-3941-0850
草間彌生美術館,東京都新宿区弁天町１０７,木金土日祝11:00〜17:30（完全予約制・90分入替制）,一般:1000円/小中高生:600円,情報なし,03-5273-1778
太田記念美術館,東京都渋谷区神宮前1-10-10,情報なし,情報なし,情報なし,03-3403-0880
板橋区立美術館,東京都板橋区赤塚５丁目３４－２７,9:30〜17:00（最終入館16:30まで）,展覧会ごとに異なる（特別展示有料）,情報なし,03-3979-3251
アーティゾン美術館,東京都中央区京橋1-7-2,10:00〜18:00（金曜は20:00まで最終入館は閉館30分前まで日時指定予約制）,展示ごとに異なる/大学生以下無料,情報なし,03-5777-8600
森美術館,東京都港区六本木６－１０－１,月水〜日10:00〜22:00（火曜は17:00まで最終入館は30分前まで）,一般:1800円/学生:1200円/子供:600円/65歳以上1500円,情報なし,03-5777-8600
聖徳記念絵画館,東京都新宿区霞ケ丘町1番1号,9:00〜17:00（年末年始は特別開館）,500円,情報なし,03-3401-5179
黒田記念館,東京都台東区上野公園13-9,9:30〜17:00,無料,情報なし,03-5777-8600
SOMPO美術館,東京都新宿区西新宿１丁目２６－１,10:00〜18:00（最終入館17:30まで）,展覧会ごとに異なる,情報:なし,情報なし
